codigo_escola,codigo_municipio,sre,municipio,escola,localizacao,dependencia
17079810,1721000,PALMAS,Palmas,ESCOLA MUNICIPAL FRANCISCA BRANDAO RAMALHO,Urbana,Municipal
17081807,1721000,PALMAS,Palmas,COLEGIO POLIVALENTE DE PALMAS,Urbana,Privada
17082803,1716109,PARAISO,Paraíso do Tocantins,COLEGIO SAO GERALDO,Urbana,Privada
17083800,1718865,ARAGUAINA,Santa Fé do Araguaia,CEMI KARAJA - XAMBIOA,Rural,Estadual
17084806,1718865,ARAGUAINA,Santa Fé do Araguaia,ESCOLA INDIGENA TAINA HACKY,Rural,Estadual
17086809,1711100,GUARAI,Itaporã do Tocantins,ESCOLA MUNICIPAL DONA AUGUSTA MARIA DE JESUS,Urbana,Municipal
17087805,1710508,PEDRO AFONSO,Itacajá,ESCOLA ESTADUAL INDIGENA PRU PRU,Rural,Estadual
17087813,1716109,PARAISO,Paraíso do Tocantins,IFTO - CAMPUS PARAISO DO TOCANTINS,Urbana,Federal
17092817,1714880,ARAGUAINA,Nova Olinda,INSTITUICAO EDUCACIONAL MESSIAS SANTOS,Urbana,Privada
17093830,1701051,TOCANTINOPOLIS,Angico,COLEGIO ESTADUAL DULCE COELHO DE SOUSA,Urbana,Estadual
17093856,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SEMENTES DO AMANHA,Urbana,Municipal
17094810,1721000,PALMAS,Palmas,CENTRO EDUCACIONAL GENESIS,Urbana,Privada
17094828,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PARAISO INFANTIL,Urbana,Municipal
17095808,1702109,ARAGUAINA,Araguaína,COLEGIO ESTADUAL SONHO DE LIBERDADE,Rural,Estadual
17095816,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CONTOS DE FADA,Urbana,Municipal
17096804,1713205,MIRACEMA DO TOCANTINS,Miracema do Tocantins,CENTRO EDUCACIONAL FLOR DE LIRIO,Urbana,Privada
17096812,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL FONTES DO SABER,Urbana,Municipal
17097800,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MATHEUS HENRIQUE DE CASTRO DOS SANTOS,Urbana,Municipal
17098807,1712702,PALMAS,Mateiros,ESCOLA ESTADUAL SILVERIO RIBEIRO DE MATOS,Rural,Estadual
17099811,1705508,COLINAS DO TOCANTINS,Colinas do Tocantins,INSTITUICAO EDUCACIONAL MESSIAS SANTOS,Urbana,Privada
17099820,1702901,ARAGUATINS,Axixá do Tocantins,ESC MUL SANTO EXPEDITO,Rural,Municipal
17101808,1718204,PORTO NACIONAL,Porto Nacional,ESCOLA MUNICIPAL ELIZA LOPES BARROS,Rural,Municipal
17102804,1718204,PORTO NACIONAL,Porto Nacional,CENTRO PROFISSIONALIZANTE DE ENSINO CBR BARAO DE RAMALHO,Urbana,Privada
17104807,1707553,PORTO NACIONAL,Fátima,ESCOLA ESPECIAL RENASCER,Urbana,Privada
17105803,1714203,PORTO NACIONAL,Natividade,ESCOLA ESPECIAL TIA CORACI DE SENA FERNANDES,Urbana,Privada
17106800,1718840,GURUPI,Sandolândia,ESCOLA INDIGENA BARRA DO RIO VERDE,Rural,Estadual
17106818,1709500,GURUPI,Gurupi,INSTITUTO EDUCACIONAL PASSO A PASSO,Urbana,Privada
17107806,1708205,GURUPI,Formoso do Araguaia,ESCOLA INDIGENA WATAKURI,Rural,Estadual
17110807,1709500,GURUPI,Gurupi,CENTRO EDUCACIONAL PINGO DE GENTE,Urbana,Privada
17112800,1709302,GUARAI,Guaraí,ESFOTEC LTDA,Urbana,Privada
17113806,1721109,MIRACEMA DO TOCANTINS,Tocantínia,ESCOLA ESTADUAL INDIGENA WAIKAWRA,Rural,Estadual
17114802,1702158,ARAGUAINA,Araguanã,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA DE NAZARE SILVA COSTA,Urbana,Municipal
17114810,1702554,ARAGUATINS,Augustinópolis,CENTRO EDUCACIONAL DE CURSOS PROFISSIONALIZANTES SANTA RITA,Urbana,Privada
17117801,1716208,ARRAIAS,Paranã,ESCOLA MUNICIPAL PROFESSORA CANDIDA,Rural,Municipal
17119804,1711951,PALMAS,Lagoa do Tocantins,CENTRO EDUCACIONAL INFANTIL JOCELI ALVES DOS SANTOS,Urbana,Municipal
17119812,1702109,ARAGUAINA,Araguaína,CENTRO EDUCACIONAL INFANTIL MUNICIPAL PROFESSORA MARIA DE FATIMA SANTOS OLIVEIRA,Urbana,Municipal
17119839,1721000,PALMAS,Palmas,ESCOLA MUNICIPAL PROFESSORA SAVIA FERNANDES JACOME,Urbana,Municipal
17120810,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PEQUENO PRINCIPE,Urbana,Municipal
17120829,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CANTINHO DA ALEGRIA,Urbana,Municipal
17121809,1702109,ARAGUAINA,Araguaína,CRECHE MUL CONSTANTINO PACIFICO DE OLIVEIRA TINO,Urbana,Municipal
17122805,1716109,PARAISO,Paraíso do Tocantins,COLEGIO MILITAR DO ESTADO DO TOCANTINS - DIACONIZIO BEZERRA DA SILVA,Urbana,Estadual
17122813,1711902,PARAISO,Lagoa da Confusão,ESC EST INDIGENA WEHERIA KARAJA,Rural,Estadual
17122821,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SONHO DE CRIANCA,Urbana,Municipal
17123801,1721000,PALMAS,Palmas,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SITIO DO PICA-PAU AMARELO,Urbana,Municipal
17124808,1716505,PEDRO AFONSO,Pedro Afonso,CENTRO DE EDUCACAO INFANTIL MARANATHA,Urbana,Municipal
17125804,1702208,ARAGUATINS,Araguatins,ESCOLA ARTE DE CRESCER,Urbana,Privada
17127807,1721000,PALMAS,Palmas,ASSOCIACAO SANTA MARCELINA,Urbana,Privada
